Province/State,Country/Region,Lat,Long,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20
,Thailand,15,101,2.0,1.0,0.5,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,1.0,0.0,0,0,0,0,0,0,0,1.5,0.0,0,1.0,0.0,0,0.0,0,0,0.25,2.0,0.0,0,0,2.0,1.8333333333333333,0.45454545454545453,1.4,4.571428571428571,1.03125,0.9090909090909091,1.1666666666666667,1.7142857142857142,0.8333333333333334,1.78
,Japan,36,138,-1.0,0.0,0,0.0,0,0.0,0,1.0,1.25,0.0,0,0,0.0,0,-0.8695652173913043,-0.0,0,0.0,0,0,0.0,0,14.0,1.1428571428571428,0.4375,1.1428571428571428,1.25,1.0,1.1,1.5454545454545454,1.4705882352941178,0.48,0.9166666666666666,1.7272727272727273,1.3157894736842106,0.56,0.9285714285714286,1.1538461538461537,1.2,1.0555555555555556,2.0,0.7631578947368421,2.0689655172413794,0.6833333333333333,1.0,0.21951219512195122,7.777777777777778,0.8285714285714286,0.0,0,1.1612903225806452,0.9166666666666666,-0.21212121212121213,-3.7857142857142856,0.20754716981132076,3.1818181818181817,1.1142857142857143,1.1282051282051282
,Singapore,1.2833,103.8333,2.0,0.0,0,1.0,2.0,0.0,0,1.0,1.0,0.6666666666666666,0.0,0,0.6666666666666666,0.0,0,1.5,2.3333333333333335,0.7142857142857143,0.4,1.5,2.6666666666666665,1.125,0.5555555555555556,0.6,0.6666666666666666,2.0,0.75,0.0,0,0.0,0,0.0,0,1.0,0.0,0,0,0.4444444444444444,0.5,1.0,0.0,0,1.8571428571428572,0.6153846153846154,1.5,0.0,0,1.8,0.0,0,0.5454545454545454,1.1666666666666667,1.2142857142857142,1.3529411764705883,2.0434782608695654,0.6808510638297872,1.25,1.175
,Nepal,28.1667,84.25,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Malaysia,2.5,112.5,0,0,0.3333333333333333,0.0,0,0,0.3333333333333333,0.0,0,0,0,0,1.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2.0,0.0,0,2.0,0.0,0,0.30303030303030304,0.6,3.0,0.6666666666666666,1.6666666666666667,0.0,0,0.8541666666666666,4.634146341463414,0.7263157894736842,0.7753623188405797,1.0934579439252337,0.9401709401709402,1.1818181818181819,1.176923076923077
British Columbia,Canada,49.2827,-123.1207,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3.0,0.3333333333333333,8.0,0.0,0,0.8333333333333334,0.0,0,1.0,2.5714285714285716,0.0,0,3.3333333333333335,0.0,0,0.5421686746987951,0.8888888888888888,3.825
New South Wales,Australia,-33.8688,151.2093,0,0,0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1.2857142857142858,0.0,0,0.5,5.0,1.0,0.7,1.4285714285714286,0.0,0,0.7407407407407407,1.1,1.6818181818181819,1.054054054054054,1.4615384615384615,0.7017543859649122,1.15,1.8043478260869565
Victoria,Australia,-37.8136,144.9631,0,0,0,0.0,0,0,0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.75,1.0,0.0,0,0.8666666666666667,0.6153846153846154,1.75,1.6428571428571428,1.173913043478261,0.0,0,0
Queensland,Australia,-28.0167,153.4,0,0,0,0,0,0,2.0,-0.5,-1.0,-1.0,-0.0,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.6666666666666666,0.0,0,0.7333333333333333,1.3636363636363635,0.4666666666666667,1.4285714285714286,1.6,3.125,0.8,0.925
,Cambodia,11.55,104.9167,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.07692307692307693,1.0,7.0,0.14285714285714285
,Sri Lanka,7,81,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,2.0,1.25,1.6,0.4375,1.2857142857142858,1.4444444444444444,0.3076923076923077
,Germany,51,9,0,0,0,0,3.0,0.0,0,0,3.0,0.6666666666666666,1.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1.9,0.10526315789473684,15.5,1.6451612903225807,0.5686274509803921,1.2758620689655173,1.7837837837837838,3.3333333333333335,0.8545454545454545,0.6861702127659575,1.8682170542635659,0.5643153526970954,2.0661764705882355,1.604982206405694,0.376940133037694,9.394117647058824,0.569818409517846,1.3296703296703296,1.2206611570247934,1.3439404197698037,1.5465994962216625,0.9749185667752444,1.5128633478115603,0.5223056537102474
,Finland,64,26,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3.0,0.0,0,0,0,0.5,0.0,0,0.875,1.4285714285714286,1.9,0.0,0,0.7291666666666666,0.2714285714285714,1.736842105263158,1.3333333333333333,0.3409090909090909,4.266666666666667,0.78125,1.46
